kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_parm_prov,koi_model_snr,koi_count,koi_tce_plnt_num,koi_tce_delivname,koi_trans_mod,koi_model_chisq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec
10973664,K00601.03,Kepler-619 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,1.208462378,0,0.8310,1.54400,2.273E+02,0.015571,0.60557,LS+MCMC,1.64,0.0225,76.66,1767.0,2307.65,3.600000,q1_q17_dr25_koi,17.40,3,3,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6122.00,4.487,-0.1800,0.9640,1.0410,,q1_q17_dr25_stellar,290.849060,48.416012
10973814,K01307.01,Kepler-287 c,CONFIRMED,Done,CANDIDATE,0.9990,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,44.852099700,0,0.8070,3.57290,7.808E+02,0.028610,2.15312,LS+MCMC,3.35,0.2409,89.24,513.0,16.35,61.200000,q1_q17_dr25_koi,33.00,2,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5514.00,4.345,0.1600,1.0710,0.9260,,q1_q17_dr25_stellar,290.927460,48.443550
10973814,K01307.02,Kepler-287 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,20.342378380,0,0.8260,2.33510,5.646E+02,0.024633,3.01493,LS+MCMC,2.88,0.1422,88.83,667.0,46.93,40.400000,q1_q17_dr25_koi,28.70,2,2,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5514.00,4.345,0.1600,1.0710,0.9260,,q1_q17_dr25_stellar,290.927460,48.443550
10975146,K01300.01,Kepler-808 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,0.631331710,0,0.7260,1.14870,4.345E+02,0.020758,1.45293,LS+MCMC,1.20,0.0116,76.59,1322.0,726.72,3.130000,q1_q17_dr25_koi,95.80,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,4441.00,4.710,-0.9800,0.5300,0.5260,,q1_q17_dr25_stellar,291.594090,48.445610
10976412,K07393.01,,FALSE POSITIVE,Done,FALSE POSITIVE,,0,0,1,0,q1_q17_dr25_sup_koi,CLEAR_APO,3.759384750,0,0.5050,1.18800,1.331E+02,0.010770,12.70846,MCMC,3.10,0.0452,88.81,1677.0,1868.97,21.170000,q1_q17_dr24_koi,11.30,1,1,q1_q17_dr24_tce,Mandel and Agol (2002 ApJ 580 171),,4976.00,3.534,-0.3000,2.6380,0.8680,,stellar_q1_q17,292.204800,48.417881
10977671,K05846.01,,CANDIDATE,Done,CANDIDATE,0.4330,0,0,0,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET,199.064336000,0,0.7630,13.62300,2.65E+02,0.016309,0.20059,LS+MCMC,6.12,0.7637,89.42,483.0,12.81,74.900000,q1_q17_dr25_koi,15.40,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5157.00,3.541,0.0000,3.4360,1.4960,,q1_q17_dr25_stellar,292.815770,48.422169
10978581,K05847.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,277.114286000,0,0.0288,3.92600,5.671E+02,0.021302,41.08304,MCMC,17.56,1.0509,89.95,605.0,31.66,550.400000,q1_q16_koi,10.40,1,1,q1_q16_tce,Mandel and Agol (2002 ApJ 580 171),,5117.00,2.986,-0.2200,7.5490,2.0120,,stellar_q1_q16,293.265080,48.426399
10978763,K01931.01,Kepler-339 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.977604470,0,0.4740,2.57190,2.873E+02,0.015682,1.79524,LS+MCMC,1.75,0.0545,87.96,1023.0,258.91,13.300000,q1_q17_dr25_koi,27.50,3,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5353.00,4.358,0.1600,1.0230,0.8700,,q1_q17_dr25_stellar,293.351720,48.444641
10978763,K01931.02,Kepler-339 d,CONFIRMED,Done,CANDIDATE,0.9820,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,10.558404790,0,0.3100,3.36600,1.942E+02,0.012634,2.09395,LS+MCMC,1.41,0.0900,89.23,796.0,94.94,23.110000,q1_q17_dr25_koi,14.60,3,3,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5353.00,4.358,0.1600,1.0230,0.8700,,q1_q17_dr25_stellar,293.351720,48.444641
10978763,K01931.03,Kepler-339 c,CONFIRMED,Done,CANDIDATE,0.9670,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.988009530,0,0.0240,3.10300,1.932E+02,0.012445,2.04813,LS+MCMC,1.39,0.0683,89.92,914.0,164.86,17.420000,q1_q17_dr25_koi,17.10,3,2,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5353.00,4.358,0.1600,1.0230,0.8700,,q1_q17_dr25_stellar,293.351720,48.444641
